Sherlock Holmes;livros, heroi;7
Shrek;cinema, heroi;4
Silvio Santos;tv, brasil, dinheiro;5
Simba;cinema, disney, animal;4
Siri, o app de voz do iPhone;empresas;9
Sócrates;historia;7
Solid Snake;games;6
Sônia Abrão;tv, brasil, mulheres;5
Sonic, the hedgehog;games, animal;6
Spock;cinema;4
sr. Incrível;cinema, disney, heroi;4
sra. Incrível;cinema, disney, heroi, mulheres;4
Stan Lee;livros;7
Stephen Hawking;ciencia;1
Steve Buscemi;cinema;4
Steve Carell;cinema;4
Steve Jobs;computacao, dinheiro, empresas;1
Steven Seagal;cinema;4
Steven Spielberg;cinema;4
sua avó;;8
sua mãe;;8
Sun Tzu;;7
Super Mario;games, heroi;6
Super-man;hq, dc, heroi;7
Suzanne Von Richtoffen;noticias, brasil, mulheres;1
Sydney Magal;musica, brasil;3
Sylvester Stallone;cinema;4
Tatá Werneck;tv, brasil, mulheres;5
técnico Felipão;esporte, brasil, futebol;6
The Flash;hq, dc, heroi;7
Tiririca;politica, brasil;2
Tom Brady;esporte;6
Tony Ramos;tv, brasil;5
Tyler Durden;cinema;4
Tyrion Lannister;livros, got;7
um advogado do Fluminense;esporte, brasil;8
um advogado inescrupuloso;;8
um anão vestido de palhaço;;9
um escravo colombiano;;8
um ex-BBB;tv, brasil, subcelebridades;5
um ex-BBB;tv;8
um gato;animal;9
um gorila;animal;8
um homem branco, heterossexual, de classe média;;8
um homem negro;;8
um homossexual;;8
um imigrante ilegal mexicano;;8
um indiano terceirizado;;8
um japonês com acesso à internet ;;8
um judeu;;8
um mineiro querendo queijo;;8
um muçulmano;;8
um pastor alemão bem treinado;animal;9
um policial à paisana;;8
um romano do século 3 A.C.;;8
um sim (do jogo The Sims);games;9
um sobrevivente de um acidente aéreo;;8
um travesti;;8
um turista brasileiro na Disney;disney;8
um veterano de guerra;;8
um virgem;;8
uma atriz pornô;sexo;8
uma barata;animal;9
uma chinchila;animal;9
uma criança africana;;8
uma esposa traída querendo vingança;;8
uma feminista;;8
uma garrafa de uísque;;9
uma mulher bem gostosa;;8
uma puta;;8
uma salsicha;;9
uma velhinha centenária;;8
Usain Bolt;esporte, negros;6
Vampeta;esporte, brasil, futebol;6
Vladmir Putin;politica;2
você;;8
Voltaire;politica;1
Wagner Montes;tv, brasil;5
Wagner Moura;cinema, brasil;4
Wally;;7
Walt Disney;cinema;4
Walter White;tv;5
Warren Buffet;empresas, dinheiro;1
Will Smith;cinema;4
William Bonner;tv, brasil;5
William Shakespeare;;7
William Wallace;historia;1
Willy Wonka;cinema, heroi;4
Winston Churchill;politica;2
Wolverine;hq, marvel;7
Xena;mulheres;7
Yakko, dos "Animaniacs";tv, desenho, animal;5
Yoko Ono;musica, mulheres;3
Zacarias;tv, brasil;5
Zagallo;esporte, brasil, futebol;6
Zeca Camargo;tv, brasil;5
Zezé di Camargo;musica, brasil;3
Zico;esporte, brasil, futebol;6
Zooey Deschanel;cinema, mulheres;4
Zorro;tv, heroi;5
